datum;srazka;zavineni;alkohol;nasledek;prilba;pohlavi
2014/03/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2014/07/17 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2014/09/04 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2015/03/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ne;muž
2015/05/31 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2015/06/01 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2015/06/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2015/06/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2015/09/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2016/01/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2016/02/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2016/03/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2016/03/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2016/04/04 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2016/05/14 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;těžké zranění;ne;muž
2016/05/21 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2016/06/13 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ano;muž
2016/12/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/04/08 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ano;muž
2017/05/18 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2017/06/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/07/23 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2017/07/31 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2017/08/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/11/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;usmrcení;ne;muž
2018/06/16 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2018/07/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2018/09/16 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2018/10/14 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2018/10/15 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2018/11/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;těžké zranění;ano;chlapec (do 15 let)
2019/05/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;těžké zranění;ano;muž
2019/05/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2019/05/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/06/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;dívka (do 15 let)
2020/04/09 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2020/04/12 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2020/06/03 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2020/07/10 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2020/07/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2020/11/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2010/03/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;muž
2010/04/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2010/05/07 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem motorového vozidla;Nezjišťován;lehké zranění;ne;muž
2010/05/18 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2010/06/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
